"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2265","TC-02: Unauthenticated user cannot access ""My account""","mainPage-chromium","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","5342","TC-04: Login fails with an invalid password","mainPage-webkit","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","2983","TC-01: Homepage loads successfully","mainPage-chromium","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","3992","TC-03: Authenticated session grants access and shows Sign out link","authenticated-chromium","2026-08-11","passed","2026-08-11","Redmine.org — authenticated flows","spec/authenticated.spec.ts","",""
"","3390","TC-04: Login fails with an invalid password","mainPage-firefox","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","10286","TC-01: Homepage loads successfully","mainPage-webkit","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","2499","TC-04: Login fails with an invalid password","mainPage-chromium","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","3057","TC-02: Unauthenticated user cannot access ""My account""","mainPage-firefox","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","5554","TC-05: User successfully logs out","authenticated-chromium","2026-08-11","passed","2026-08-11","Redmine.org — authenticated flows","spec/authenticated.spec.ts","",""
"","4012","TC-02: Unauthenticated user cannot access ""My account""","mainPage-webkit","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
"","4441","TC-01: Homepage loads successfully","mainPage-firefox","2026-08-11","passed","2026-08-11","Redmine.org — public / unauthenticated flows","spec/mainPage.spec.ts","",""
